word,block1
lemon,1.898564099590989
sun,2.03262667449559
rose,3.1405006043925683
bone,3.1496913057947094
chalk,3.4516876990453587
pain,4.065100920056675
romance,4.0810049856344595
belt,4.105007736967012
fork,4.2767890987338735
rock,4.354394484585572
sadness,4.391436604971568
tarantula,4.407788460141605
energy,4.411537584457392
heaven,4.440325319412671
success,4.531157959533928
ache,4.646512509537163
staple,4.652776707232947
corpse,4.66630283625513
robin,4.678956104132099
computer,4.690404231362246
toe,4.706837314532849
temptation,4.795064976636247
barley,4.817229270958446
desire,4.830737402751196
shampoo,4.889196232731843
gloom,4.9277796889478855
excitement,4.998324979971718
divinity,5.039507797709058
optimism,5.079188960146473
urge,5.098834858797714
loyal,5.113093204748944
heroism,5.113993802933524
playfulness,5.125906403701307
boat,5.178913891207607
relief,5.187135765081363
faith,5.207428349016064
fish,5.268451071982268
pheasant,5.283873159975378
appearance,5.358657807456004
mansion,5.419380399339429
