word,block2
chalk,507.3790604192675
elephant,614.3900089475164
mirror,687.4229671845876
bone,690.4417259814279
tomato,713.8700566683065
sun,745.8827917405657
jeans,762.2664611284429
road,773.7696595013733
ocean,796.0433206354423
fork,799.1521343303733
lemon,806.487716588766
fire,834.985107653144
skin,854.3429151130692
spinach,858.0584049499914
window,872.8346713128412
computer,941.5221418603696
stethoscope,943.2416833643442
rose,962.8843573616001
vegetable,982.2670362254034
clarity,991.2007114428185
cigar,999.985939110569
cockroach,1007.784295412126
staple,1042.9330804984806
panther,1056.3866018835683
microscope,1071.4740599940174
vagueness,1077.5430495940382
toilet,1092.4243016865107
suit,1097.9607550591058
needle,1099.4602906366636
tree,1100.9828997013776
moose,1106.9970567345918
hammer,1114.177083203543
rock,1125.4220354627098
iron,1139.844715507982
bread,1163.715312836794
belt,1176.0851342540846
hell,1183.927622740222
tripod,1221.670372485704
otter,1236.5148141082275
kangaroo,1249.7117710085718
weapon,1264.742893480669
dream,1283.6335974423814
tortoise,1307.2765693964243
cabinet,1319.9065291930683
sadness,1325.854775799577
razor,1343.5611917509461
toast,1348.5635948762126
earphones,1351.1070942731676
warehouse,1360.0917180531292
daffodil,1364.233005383608
train,1371.0878094308123
flesh,1393.142723312436
wilderness,1404.9068822613308
dread,1417.8166648647316
shampoo,1428.1513620363512
chair,1433.777196032213
heaven,1437.2060536863507
shyness,1445.6732947372197
leg,1460.1132917504265
cow,1484.0318408626108
shoes,1487.9048321619316
unicorn,1489.821236495044
ferret,1505.197807800549
hill,1516.7901504357433
shirt,1522.0283745864745
despair,1523.5614448333454
badger,1542.673849996477
hate,1554.0582705313554
gloom,1556.7750090664108
building,1561.6375584390237
theory,1562.3446678982464
disgust,1589.3767405372637
couch,1589.8803408971444
modesty,1601.6080133603277
toe,1602.720187414297
windmill,1603.4049461455788
love,1607.3392236835045
notion,1610.4055582090132
gist,1611.9140408513292
romance,1618.1963167905114
discretion,1622.21834177229
inflamation,1623.4422634128855
tarantula,1631.6958505749176
seat,1635.212916442182
hawk,1679.465280810679
thoughtlessness,1696.743868454782
hairdryer,1708.691108723634
lobster,1711.197998291585
tendency,1724.8173167562227
corpse,1730.8460802828524
relief,1737.5764130414743
wisdom,1749.7543317701438
insect,1755.4491118833876
bunkbed,1761.5256648472919
boat,1763.3142480694455
pain,1764.3119270304367
berry,1793.698340219128
weariness,1794.8338252434762
drums,1808.7306217991713
cornflour,1810.0781686123346
book,1810.4312900671491
memory,1812.964005086293
suffering,1815.2392785613142
chest,1819.962243700618
tie,1853.0192562771222
crab,1855.809071201989
elegance,1858.5443710959044
noun,1864.0460758116565
canyon,1866.2078292210144
beauty,1872.938295563118
mysterious,1873.240058091551
stomach,1894.596147118863
harp,1928.545976684398
fear,1939.8316161388007
prune,1944.8856358491307
trouble,1946.9631969188997
muscle,1989.8257152208248
obligation,2001.1765616787097
fish,2001.9450196451999
imagination,2008.6349269992952
opinion,2021.3320990760058
appearance,2021.921918508015
revolt,2026.0877842072293
divinity,2028.2388878570903
pheasant,2032.1088267868986
barley,2034.6998424998696
thistle,2039.273734585234
equality,2056.6956162050037
sanity,2059.0479061201745
necklace,2065.1942807575238
passion,2092.467583409557
horn,2103.925548338593
reality,2105.8840971124578
purse,2129.6009623525338
reassurance,2132.342881443079
blessing,2132.779928116618
magic,2137.5298048041786
viciousness,2148.088622520735
misconception,2149.061434403709
mansion,2151.0786280224747
apple,2161.2196163077933
embarrassment,2166.0825281064936
bus,2175.6813016347323
discomfort,2175.810237732344
magazine,2178.3322001387714
regret,2188.001050028715
oddity,2203.3060643754757
bracelet,2207.2210147682044
glamour,2223.136615602516
adoration,2234.142023605539
ache,2238.4069654849022
randomness,2243.0264689861624
democracy,2252.706906646691
friendliness,2255.5712100077208
communication,2265.3977199337733
chaos,2288.0360870704526
grape,2297.042144971666
glee,2312.0610104337366
diversity,2318.2225350955314
complexity,2330.7376693514293
responsibility,2337.5714355714085
justice,2383.4938230049192
humiliation,2390.650956366656
admiration,2390.851797881939
faith,2393.1597730330277
obviousness,2401.359293463786
peculiarity,2450.6281837044326
insanity,2464.4137537724846
noblity,2476.649042462525
gossip,2495.6834754873903
verb,2522.6350328036538
absurdity,2531.6155143970054
defiance,2554.547420390231
joy,2565.0919147565123
optimism,2577.579145012955
craziness,2578.821413363016
diner,2609.3171656294253
positivity,2648.8926190699613
surprise,2659.8633825592156
anxiety,2665.756403892644
desire,2672.147507251151
temptation,2674.56386437118
butterfly,2675.701546004857
energy,2710.2903890049047
jealousy,2712.8067041604845
ego,2713.3151659709047
playfulness,2718.7137599453654
loyal,2732.389312488958
happiness,2753.882757878224
flag,2771.1652745934853
freedom,2814.359768162273
speed,2897.079187385125
urge,2939.2165489113313
success,2942.9503276753053
excitement,2986.262910888172
fame,2987.078612194581
heroism,2993.4789543797338
robin,3008.24143057395
pride,3041.9461950969207
